State,Record_Count
Alabama,6
Alaska,16
Arizona,330
Arkansas,102
California,1201
Colorado,148
Connecticut,53
Delaware,44
Florida,621
Georgia,420
Hawaii,32
Idaho,51
Illinois,405
Indiana,254
Iowa,115
Kansas,74
Kentucky,166
Louisiana,202
Maine,25
Maryland,172
Massachusetts,205
Michigan,374
Minnesota,199
Mississippi,55
Missouri,163
Montana,38
Nebraska,87
Nevada,121
New Hampshire,34
New Jersey,129
New Mexico,78
New York,352
North Carolina,295
North Dakota,35
Ohio,522
Oklahoma,166
Oregon,154
Pennsylvania,383
Rhode Island,15
South Carolina,188
South Dakota,42
Tennessee,302
Texas,811
Utah,63
Vermont,15
Virginia,253
Washington,196
West Virginia,70
Wisconsin,189
Wyoming,29
