YEAR,State,RATE,DEATHS,latitude,longitude
2018,Alabama,224.7,13473,32.318231,-86.902298
2018,Alaska,129.7,815,63.588753,-154.493062
2018,Arizona,136.4,12455,34.048928,-111.093731
2018,Arkansas,217.4,8171,35.20105,-91.831833
2018,California,139.7,62547,36.778261,-119.417932
2018,Colorado,124.3,7370,39.550051,-105.782067
2018,Connecticut,142.1,7205,41.603221,-73.087749
2018,Delaware,159.1,2030,38.910832,-75.52767
2018,Florida,143.1,47027,27.664827,-81.515754
2018,Georgia,175.8,18986,32.157435,-82.907123
2018,Hawaii,125.6,2570,19.898682,-155.665857
2018,Idaho,157.9,3122,44.068202,-114.742041
2018,Illinois,163.9,25755,40.633125,-89.398528
2018,Indiana,180.7,14532,40.551217,-85.602364
2018,Iowa,165.1,7185,41.878003,-93.097702
2018,Kansas,158.9,5823,39.011902,-98.484246
2018,Kentucky,198.3,10697,37.839333,-84.270018
2018,Louisiana,212.2,11340,31.244823,-92.145024
2018,Maine,147.0,2965,45.253783,-69.445469
2018,Maryland,161.9,11683,39.045755,-76.641271
2018,Massachusetts,131.5,12036,42.407211,-71.382437
2018,Michigan,195.0,25354,44.314844,-85.602364
2018,Minnesota,119.0,8408,46.729553,-94.6859
2018,Mississippi,222.1,7758,32.354668,-89.398528
2018,Missouri,188.4,14893,37.964253,-91.831833
2018,Montana,163.2,2347,46.879682,-110.362566
2018,Nebraska,145.7,3539,41.492537,-99.901813
2018,Nevada,190.7,6393,38.80261,-116.419389
2018,New Hampshire,151.0,2786,43.193852,-71.572395
2018,New Jersey,163.0,19047,40.058324,-74.405661
2018,New Mexico,148.2,3935,34.97273,-105.032363
2018,New York,171.9,44499,43.299428,-74.217933
2018,North Carolina,155.5,19222,35.759573,-79.0193
2018,North Dakota,140.0,1361,47.551493,-101.002012
2018,Ohio,191.1,29220,40.417287,-82.907123
2018,Oklahoma,228.5,10634,35.007752,-97.092877
2018,Oregon,128.4,6820,43.804133,-120.554201
2018,Pennsylvania,176.1,32768,41.203322,-77.194525
2018,Rhode Island,158.9,2411,41.580095,-71.477429
2018,South Carolina,167.0,10464,33.836081,-81.163725
2018,South Dakota,156.3,1796,43.969515,-99.901813
2018,Tennessee,202.4,16417,35.517491,-86.580447
2018,Texas,170.0,46763,31.968599,-99.901813
2018,Utah,146.4,3749,39.32098,-111.093731
2018,Vermont,150.5,1338,44.558803,-72.577841
2018,Virginia,147.9,14600,37.431573,-78.656894
2018,Washington,135.4,11655,47.751074,-120.740139
2018,West Virginia,196.4,5007,38.597626,-80.454903
2018,Wisconsin,157.8,12061,43.78444,-88.787868
2018,Wyoming,152.7,1054,43.075968,-107.290284
