State,O3 Mean
Alabama,5.631006
Alaska,4.636970999999999
Arizona,34.041546
Arkansas,9.484313
California,230.163447
Colorado,29.559091999999996
Connecticut,9.715860999999999
Delaware,8.867561
District Of Columbia,10.975441
Florida,10.111654
Georgia,8.041690999999998
Hawaii,33.535636
Idaho,6.940453999999999
Illinois,9.255039
Indiana,8.439471
Iowa,40.194154999999995
Kansas,7.260701999999999
Kentucky,9.688561
Louisiana,8.423827
Maine,15.462295999999998
Maryland,29.405523
Massachusetts,9.257185999999999
Michigan,5.44916
Minnesota,5.368004
Mississippi,6.752556
Missouri,19.832255
Nevada,22.89053
New Hampshire,9.235291
New Jersey,17.903015
New Mexico,13.250083
New York,18.583453
North Carolina,19.900201
North Dakota,10.629598
Ohio,28.011702
Oklahoma,8.404774999999999
Oregon,8.073699999999999
Pennsylvania,17.958033
Rhode Island,11.882045
South Carolina,2.6905349999999997
South Dakota,11.100106
Tennessee,12.504849
Texas,23.595105999999998
Utah,36.902189
Vermont,9.207483
Virginia,23.513405
Washington,7.143845
Wyoming,13.054312
